row,original_index,problem_id,sample_idx,y_error,is_correct,n_steps,response_chars,primary_escape_raw_mean,primary_escape_mean,primary_escape_late,primary_escape_max,primary_coherent_escape,primary_late_coherent_escape,primary_normal_persistence,phase_escape_mean,phase_coherent_escape,shuffle_escape_mean,shuffle_coherent_escape,wrong_problem_escape_mean,wrong_problem_coherent_escape,random_escape_mean,rank_support_rate,mean_selected_rank,state_match_cosine_mean,shuffle_changed_rate_mean
10,11,0,11,0,1,11,420,0.7589544653892517,0.7087177634239197,0.7087177634239197,0.9084303379058838,0.023929327726364136,0.023929327726364136,0.03376425802707672,0.7087177634239197,0.023929327726364136,0.8111554384231567,0.07045171409845352,0.8356900811195374,0.031865444034338,0.9891273379325867,0.4000000059604645,4.0,0.7810087203979492,1.0
11,12,1,0,0,1,7,374,0.40279266238212585,0.3122199475765228,0.3122199475765228,0.4177769720554352,0.12522608041763306,0.12522608041763306,0.4010829031467438,0.3122199475765228,0.12522608041763306,0.7621328830718994,0.36311402916908264,0.5912253856658936,0.2086036205291748,0.996859073638916,0.3333333432674408,3.5,0.8737037181854248,1.0
12,13,1,1,0,1,6,420,0.31841492652893066,0.12419775873422623,0.12419775873422623,0.12419775873422623,0.12419775128364563,0.12419775128364563,1.0,0.12419775873422623,0.12419775128364563,0.9870653748512268,0.9870653748512268,0.356050968170166,0.2716692388057709,0.9985396265983582,0.20000000298023224,3.799999952316284,0.8815427422523499,1.0
13,14,1,2,0,1,6,294,0.2732659876346588,0.10011468827724457,0.10011468827724457,0.10011468827724457,0.10011468082666397,0.10011468082666397,1.0000001192092896,0.10011468827724457,0.10011468082666397,0.6119933128356934,0.6119933128356934,0.35784873366355896,0.276651531457901,0.9936445951461792,0.20000000298023224,4.0,0.882975161075592,1.0
14,15,1,3,0,1,6,368,0.30204400420188904,0.1306878626346588,0.1306878626346588,0.1306878626346588,0.1306878626346588,0.1306878626346588,1.0,0.1306878626346588,0.1306878626346588,0.8020960688591003,0.8020960092544556,0.39897891879081726,0.3257802426815033,0.9956676959991455,0.20000000298023224,3.799999952316284,0.885832667350769,1.0
15,16,1,4,0,1,3,220,0.918860912322998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8450442552566528,1.0
16,17,1,5,0,1,6,354,0.2815033197402954,0.09391315281391144,0.09391315281391144,0.09391315281391144,0.09391314536333084,0.09391314536333084,1.0,0.09391315281391144,0.09391314536333084,0.36052799224853516,0.36052799224853516,0.35635700821876526,0.2773793041706085,0.9969430565834045,0.20000000298023224,4.0,0.8786599636077881,1.0
17,18,1,6,0,1,5,278,0.41266900300979614,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8709044456481934,1.0
18,19,1,7,0,1,7,341,0.4211609959602356,0.30748316645622253,0.30748316645622253,0.49836838245391846,0.14011909067630768,0.14011909067630768,0.4556967318058014,0.30748316645622253,0.14011909067630768,0.8406618237495422,0.39849403500556946,0.5653612613677979,0.20042257010936737,0.9985222816467285,0.3333333432674408,3.5,0.8832656741142273,1.0
19,20,1,8,0,1,7,376,0.30613866448402405,0.15418091416358948,0.15418091416358948,0.24626481533050537,0.06580864638090134,0.06580864638090134,0.42682746052742004,0.15418091416358948,0.06580864638090134,0.7158678770065308,0.3492327034473419,0.4807094931602478,0.1335720270872116,0.9885551929473877,0.3333333432674408,3.5,0.8837824463844299,1.0
20,21,1,9,0,1,7,336,0.3297101855278015,0.16537293791770935,0.16537293791770935,0.22183622419834137,0.05760207027196884,0.05760207027196884,0.3483161926269531,0.16537293791770935,0.05760207027196884,0.7416801452636719,0.3512648940086365,0.5014273524284363,0.12317477911710739,0.9986667633056641,0.3333333432674408,3.5,0.873589038848877,1.0
21,22,1,10,0,1,6,314,0.21744945645332336,0.06653870642185211,0.06653870642185211,0.06653870642185211,0.06653871387243271,0.06653871387243271,1.0000001192092896,0.06653870642185211,0.06653871387243271,0.41698378324508667,0.41698381304740906,0.38744568824768066,0.3069126009941101,0.992120623588562,0.20000000298023224,4.0,0.8764507174491882,1.0
22,23,1,11,0,1,5,512,0.3962831199169159,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8845484256744385,1.0
23,24,2,0,1,0,12,728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,25,2,1,1,0,11,1252,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,26,2,2,0,1,12,1042,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
26,27,2,3,0,1,11,657,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,28,2,4,0,1,6,517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,29,2,5,1,0,9,726,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,30,2,6,1,0,21,1475,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,31,2,7,0,1,11,709,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,32,2,8,0,1,7,691,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,33,2,9,1,0,10,801,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,34,2,10,1,0,7,694,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
34,35,2,11,1,0,6,499,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
35,36,3,0,0,1,5,256,0.33916619420051575,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8800250291824341,1.0
36,37,3,1,0,1,5,357,0.4693944454193115,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8585993051528931,1.0
37,39,3,3,0,1,6,430,0.41727980971336365,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8765933513641357,1.0
38,40,3,4,0,1,7,337,0.4852500855922699,0.33798927068710327,0.33798927068710327,0.5391442179679871,0.14195965230464935,0.14195965230464935,0.42001229524612427,0.33798927068710327,0.14195965230464935,0.6611148715019226,0.37253180146217346,0.5848695039749146,0.22920897603034973,0.9929904937744141,0.3333333432674408,3.8333332538604736,0.8235543966293335,1.0
39,41,3,5,0,1,7,377,0.5441970229148865,0.41366666555404663,0.41366666555404663,0.559929609298706,0.09675992280244827,0.09675992280244827,0.23390795290470123,0.41366666555404663,0.09675992280244827,0.5626137256622314,0.2037229984998703,0.5861517190933228,0.1604647934436798,0.9917253255844116,0.3333333432674408,3.8333332538604736,0.8120030164718628,1.0
40,42,3,6,0,1,4,314,0.520639181137085,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8809000849723816,1.0
41,43,3,7,0,1,5,360,0.6452258825302124,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8331831097602844,1.0
42,44,3,8,0,1,8,319,0.6225208044052124,0.5833430290222168,0.5833430290222168,0.7837717533111572,0.0825069472193718,0.0825069472193718,0.14143814146518707,0.5833430290222168,0.0825069472193718,0.7724496126174927,0.2006980925798416,0.7941284775733948,0.13934427499771118,0.9963014125823975,0.4285714328289032,3.7142856121063232,0.8134777545928955,1.0
43,45,3,9,0,1,7,362,0.36186927556991577,0.08062829077243805,0.08062829077243805,0.08062829077243805,0.08062829077243805,0.08062829077243805,1.0,0.08062829077243805,0.08062829077243805,0.965394139289856,0.9653940796852112,0.4213801920413971,0.3553580045700073,0.9908807873725891,0.1666666716337204,3.8333332538604736,0.8657330274581909,1.0
44,46,3,10,0,1,3,195,0.7879952192306519,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8500615954399109,1.0
45,47,3,11,0,1,8,468,0.593457043170929,0.7281088829040527,0.7281088829040527,0.7912848591804504,0.13547274470329285,0.13547274470329285,0.18606111407279968,0.7281088829040527,0.13547274470329285,0.7087726593017578,0.16192899644374847,0.7495975494384766,0.1311558187007904,0.9931686520576477,0.4285714328289032,3.7142856121063232,0.8472957015037537,1.0
46,48,4,0,0,1,5,412,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
47,49,4,1,1,0,10,791,0.5886760354042053,0.6746870279312134,0.4997653663158417,0.9532269239425659,0.03047206997871399,0.05515541508793831,0.04516474902629852,0.6746870279312134,0.03047206997871399,0.8551799058914185,0.06104302778840065,0.8261750936508179,0.043401580303907394,0.992272675037384,0.5555555820465088,4.0,0.813280463218689,1.0
48,50,4,2,0,1,6,427,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
49,51,4,3,1,0,15,980,0.8127201795578003,0.8053263425827026,0.7382256984710693,0.95343416929245,0.019304251298308372,0.028192466124892235,0.023970721289515495,0.8053263425827026,0.019304251298308372,0.8899308443069458,0.03307754173874855,0.8677886724472046,0.019223639741539955,0.9930121302604675,0.7142857313156128,3.642857074737549,0.786544680595398,1.0
50,52,4,4,0,1,7,554,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
51,53,4,5,1,0,10,1565,0.779780924320221,0.7831445336341858,0.6636295318603516,0.9658093452453613,0.060267187654972076,0.2151578813791275,0.0769553855061531,0.7831445336341858,0.060267187654972076,0.9351708292961121,0.0889674499630928,0.8523714542388916,0.06893936544656754,0.9930433034896851,0.5555555820465088,4.0,0.7869941592216492,1.0
52,54,4,6,0,1,15,1326,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
53,55,4,7,0,1,6,1723,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
54,56,4,8,0,1,11,628,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
55,59,4,11,1,0,14,1395,0.822749137878418,0.8183063268661499,0.7658585906028748,0.9726911783218384,0.015580078586935997,0.037874747067689896,0.019039422273635864,0.8183063268661499,0.015580078586935997,0.8179622292518616,0.03978728502988815,0.8843271732330322,0.017029937356710434,0.9920591711997986,0.692307710647583,3.692307710647583,0.7861973643302917,1.0
56,60,5,0,0,1,12,1042,0.4596867859363556,0.08652828633785248,0.08652828633785248,0.08652828633785248,0.08652829378843307,0.08652829378843307,1.0,0.08652828633785248,0.08652829378843307,0.8552584648132324,0.8552584648132324,0.4680596590042114,0.3571983277797699,0.9929113388061523,0.09090909361839294,4.0,0.8187956809997559,1.0
57,61,5,1,0,1,9,681,0.5778295993804932,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8043806552886963,1.0
58,62,5,2,0,1,14,913,0.776806652545929,0.7660279870033264,0.7660279870033264,0.9863687753677368,0.08161146193742752,0.08161146193742752,0.10653848946094513,0.7660279870033264,0.08161146193742752,0.6418142318725586,0.09370851516723633,0.8394005298614502,0.08110331743955612,0.9945698976516724,0.3076923191547394,3.615384578704834,0.7792287468910217,1.0
59,63,5,3,0,1,12,887,0.5713703036308289,0.14805221557617188,0.14805221557617188,0.14805221557617188,0.14805223047733307,0.14805223047733307,1.0000001192092896,0.14805221557617188,0.14805223047733307,0.8138625621795654,0.8138625025749207,0.4650130271911621,0.35405027866363525,0.9787744283676147,0.09090909361839294,4.0,0.789716899394989,1.0
60,64,5,4,0,1,12,842,0.432465136051178,0.07616252452135086,0.07616252452135086,0.07616252452135086,0.07616251707077026,0.07616251707077026,1.0,0.07616252452135086,0.07616251707077026,0.9264287948608398,0.9264287352561951,0.4266187250614166,0.31109189987182617,0.9956006407737732,0.09090909361839294,4.0,0.813335120677948,1.0
61,65,5,5,0,1,10,624,0.6375051140785217,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8146705627441406,1.0
62,67,5,7,0,1,12,786,0.39657795429229736,0.07129132747650146,0.07129132747650146,0.07129132747650146,0.07129132747650146,0.07129132747650146,1.0000001192092896,0.07129132747650146,0.07129132747650146,0.9628955125808716,0.9628955125808716,0.4527421295642853,0.3416970372200012,0.9983786344528198,0.09090909361839294,4.0,0.8242297768592834,1.0
63,68,5,8,0,1,7,424,0.565762996673584,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.813864529132843,1.0
64,69,5,9,1,0,8,621,0.5918666124343872,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8230939507484436,1.0
65,70,5,10,0,1,6,454,0.796188235282898,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8001225590705872,1.0
66,71,5,11,0,1,13,698,0.6103103160858154,0.5917345285415649,0.5917345285415649,0.8467271327972412,0.0870385468006134,0.0870385468006134,0.14709053933620453,0.5917345285415649,0.0870385468006134,0.6906445622444153,0.14655493199825287,0.6205245852470398,0.06885190308094025,0.9970203638076782,0.25,3.8333332538604736,0.8029360771179199,1.0
67,72,6,0,0,1,5,280,0.035807233303785324,0.022852908819913864,0.05052199959754944,0.05052199959754944,0.0066034807823598385,0.05052200332283974,0.2889557480812073,0.022852908819913864,0.0066034807823598385,0.801939845085144,0.24403519928455353,0.6980445981025696,0.11736008524894714,0.989149272441864,0.75,3.75,0.9503433108329773,1.0
68,73,6,1,0,1,7,310,0.4234652817249298,0.4234652817249298,0.7689896821975708,0.945022463798523,0.013632248155772686,0.34146443009376526,0.032192129641771317,0.4234652817249298,0.013632248155772686,0.8301810026168823,0.13286924362182617,0.7778209447860718,0.035798732191324234,0.9896855354309082,1.0,3.6666667461395264,0.89356929063797,1.0
69,74,6,2,0,1,7,364,0.19473260641098022,0.1494014859199524,0.07248833775520325,0.2640119791030884,0.018663521856069565,0.07248833775520325,0.12492193281650543,0.1494014859199524,0.018663521856069565,0.8941744565963745,0.17071428894996643,0.7239798903465271,0.07699677348136902,0.9908573627471924,0.6666666865348816,3.6666667461395264,0.9088463187217712,1.0
70,75,6,3,0,1,5,326,0.08178814500570297,0.06383772194385529,0.17232564091682434,0.17232564091682434,0.017812272533774376,0.17232564091682434,0.27902424335479736,0.06383772194385529,0.017812272533774376,0.7680603861808777,0.3074590861797333,0.693864107131958,0.1155310794711113,0.9948590397834778,0.75,3.75,0.949984073638916,1.0
71,76,6,4,0,1,5,346,0.17689932882785797,0.20897047221660614,0.2466449737548828,0.2466449737548828,0.02044612541794777,0.2466449737548828,0.09784217923879623,0.20897047221660614,0.02044612541794777,0.7085336446762085,0.1750580370426178,0.7001732587814331,0.10895004123449326,0.9958697557449341,0.75,3.5,0.9406830072402954,1.0
72,77,6,5,0,1,5,274,0.0983157828450203,0.0983157828450203,0.18761318922042847,0.3175770938396454,0.015809867531061172,0.06514214724302292,0.16080699861049652,0.0983157828450203,0.015809867531061172,0.7563714981079102,0.20274783670902252,0.6886788606643677,0.07532846182584763,0.9929792881011963,1.0,3.75,0.9488112926483154,1.0
73,78,6,6,0,1,5,277,0.045278191566467285,0.030970364809036255,0.05153971165418625,0.05153971165418625,0.009376056492328644,0.05153971165418625,0.3027428388595581,0.030970364809036255,0.009376056492328644,0.7915384769439697,0.38208577036857605,0.6995227932929993,0.11646521836519241,0.990005373954773,0.75,3.75,0.949102520942688,1.0
74,79,6,7,0,1,4,360,0.9105812311172485,0.9105812311172485,0.9891231060028076,0.9891231060028076,0.2968893349170685,0.9891231656074524,0.3260438144207001,0.9105812311172485,0.2968893349170685,0.3834437131881714,0.149921715259552,0.8504272699356079,0.1579747349023819,0.9938865900039673,1.0,2.6666667461395264,0.8768971562385559,1.0
75,80,6,8,0,1,8,300,0.4143008589744568,0.4143008589744568,0.4864758849143982,0.887378454208374,0.011533999815583229,0.08662998676300049,0.027839669957756996,0.4143008589744568,0.011533999815583229,0.7438800930976868,0.06970550864934921,0.7380556464195251,0.022564208135008812,0.9946092963218689,1.0,3.4285714626312256,0.8922585844993591,1.0
76,81,6,9,0,1,8,437,0.6271005868911743,0.6271005868911743,0.5202164053916931,0.9784345626831055,0.03352298215031624,0.09504171460866928,0.0534571073949337,0.6271005868911743,0.03352298215031624,0.8315034508705139,0.039351899176836014,0.7387517094612122,0.028670143336057663,0.9893195629119873,1.0,3.142857074737549,0.8868599534034729,1.0
77,82,6,10,0,1,7,355,0.18724605441093445,0.14060094952583313,0.041353702545166016,0.23438197374343872,0.019422464072704315,0.04135369881987572,0.13813892006874084,0.14060094952583313,0.019422464072704315,0.6431816816329956,0.07966412603855133,0.6933192014694214,0.08866024017333984,0.9975789785385132,0.6666666865348816,3.6666667461395264,0.9092509746551514,1.0
78,83,6,11,0,1,5,274,0.09770173579454422,0.09770173579454422,0.1863851100206375,0.3051912188529968,0.015757622197270393,0.06570073962211609,0.16128291189670563,0.09770173579454422,0.015757622197270393,0.7190728187561035,0.1572819948196411,0.697695791721344,0.07727320492267609,0.9910211563110352,1.0,3.75,0.949669361114502,1.0
79,84,7,0,1,0,10,601,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80,85,7,1,1,0,16,849,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81,86,7,2,1,0,13,765,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
82,87,7,3,1,0,10,824,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
83,88,7,4,1,0,15,951,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
84,89,7,5,1,0,7,638,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
85,90,7,6,1,0,6,466,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
86,91,7,7,1,0,7,432,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
87,92,7,8,1,0,13,726,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
88,93,7,9,1,0,13,835,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
89,94,7,10,1,0,10,604,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
90,95,7,11,1,0,7,625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
91,96,8,0,1,0,14,1354,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
92,98,8,2,0,1,18,1195,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
93,99,8,3,1,0,13,916,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
94,100,8,4,1,0,16,1104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
95,101,8,5,1,0,14,1125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
96,102,8,6,1,0,13,1659,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
97,103,8,7,0,1,14,1072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
98,104,8,8,0,1,27,1375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
99,105,8,9,1,0,13,952,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
100,106,8,10,1,0,16,1473,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
101,107,8,11,0,1,13,1229,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
102,108,9,0,0,1,11,663,0.39691710472106934,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8286006450653076,1.0
103,109,9,1,0,1,11,592,0.3980395793914795,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8381516933441162,1.0
104,110,9,2,0,1,19,857,0.6930364966392517,0.7762980461120605,0.7762980461120605,0.9827984571456909,0.045671314001083374,0.045671314001083374,0.05883219093084335,0.7762980461120605,0.045671314001083374,0.6921120882034302,0.08818943053483963,0.8381366729736328,0.04406840726733208,0.9928098320960999,0.2777777910232544,4.0,0.7653928399085999,1.0
105,111,9,3,0,1,10,621,0.5557050704956055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8198157548904419,1.0
106,112,9,4,0,1,11,625,0.2897193133831024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8406280279159546,1.0
107,113,9,5,0,1,13,553,0.392036110162735,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.827693521976471,1.0
108,114,9,6,0,1,12,724,0.4112030267715454,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8244837522506714,1.0
109,115,9,7,0,1,7,318,0.46172022819519043,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8185810446739197,1.0
110,116,9,8,0,1,15,954,0.6166241765022278,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8034010529518127,1.0
111,117,9,9,0,1,11,654,0.6636801958084106,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8071553111076355,1.0
112,118,9,10,0,1,11,601,0.328157514333725,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8144357204437256,1.0
113,119,9,11,0,1,6,381,0.7418647408485413,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,4.0,0.8006483316421509,1.0
114,120,10,0,0,1,6,611,0.15517714619636536,0.1247280016541481,nan,0.1247280016541481,0.1247279942035675,nan,1.0,0.1247280016541481,0.1247279942035675,0.8863368034362793,0.8863369226455688,0.9280049800872803,0.8796388506889343,0.9963505864143372,0.20000000298023224,4.0,0.8925298452377319,1.0
115,121,10,1,0,1,8,567,0.4738192856311798,0.46286454796791077,0.5970592498779297,0.7914156317710876,0.044569723308086395,0.0932091474533081,0.09629107266664505,0.46286454796791077,0.044569723308086395,0.7002710103988647,0.09736040979623795,0.7920156121253967,0.10153952986001968,0.9899696707725525,0.5714285969734192,4.0,0.8380621075630188,1.0
116,122,10,2,0,1,9,704,0.38969311118125916,0.44956067204475403,0.5479303598403931,0.7459044456481934,0.09004229307174683,0.1365172266960144,0.2002895176410675,0.44956067204475403,0.09004229307174683,0.7797192335128784,0.1234196126461029,0.7881066203117371,0.11954023689031601,0.9873941540718079,0.5,4.0,0.8689700365066528,1.0
117,123,10,3,0,1,7,626,0.3716047704219818,0.38796108961105347,nan,0.454140841960907,0.07252107560634613,nan,0.18692871928215027,0.38796108961105347,0.07252107560634613,0.7252374887466431,0.31478676199913025,0.7651993632316589,0.16573426127433777,0.9869353771209717,0.3333333432674408,4.0,0.8682531118392944,1.0
118,124,10,4,1,0,13,692,0.36070716381073,0.43697282671928406,0.5725895166397095,0.9034247398376465,0.013647248968482018,0.025143221020698547,0.0312313474714756,0.43697282671928406,0.013647248968482018,0.7311587929725647,0.08107869327068329,0.8081346154212952,0.04286539927124977,0.9935017824172974,0.5,3.75,0.8389107584953308,1.0
119,125,10,5,0,1,11,600,0.29662907123565674,0.2924427092075348,0.3157183527946472,0.5055661797523499,0.026729581877589226,0.03459089249372482,0.0914011001586914,0.2924427092075348,0.026729581877589226,0.6428699493408203,0.12869085371494293,0.7746317386627197,0.05999075621366501,0.9894999265670776,0.5,3.799999952316284,0.8348595499992371,1.0
