error_row,control_row,error_event,control_event,cost,same_problem,reused_control
167,229,0,0,0.002351298742292187,0,0
168,377,2,2,0.002114304604465244,0,0
169,304,1,1,0.07255443365406988,0,0
170,216,2,2,0.23413403973319932,0,1
171,370,3,3,0.0013345845094417086,0,0
172,277,0,0,0.16494182047287767,0,0
173,339,2,2,0.00044090799501498613,0,0
174,217,0,0,0.0003680635830496993,0,0
175,295,5,5,0.0005195016033343457,0,0
176,257,0,0,0.005196914517135925,0,0
177,345,1,1,0.0022680558662559027,0,0
178,326,1,1,0.0013345845094417516,0,0
179,316,1,1,0.0,0,0
180,225,3,3,0.1298788664016184,0,0
181,369,2,2,0.003969484669686892,0,0
182,325,1,1,0.0007879929579580218,0,0
183,362,2,2,0.0022680558662559027,0,0
184,342,3,3,0.0058081498181311985,0,0
185,381,2,2,0.009078015170491553,0,0
186,346,2,2,0.00653394625846359,0,0
187,317,0,0,0.16809222854312694,0,0
188,305,3,3,0.0013345845094417516,0,0
189,202,3,3,0.07882226131418955,0,1
190,341,1,1,0.01138992898081991,0,0
191,199,2,2,0.013459519512233568,0,0
192,334,3,3,0.026922286985630955,0,0
193,333,2,2,0.0010839557627345473,0,0
194,371,1,1,0.0009843276593264805,0,0
195,355,2,2,0.0026304973523962397,0,0
196,250,2,2,0.0021388229918778544,0,0
197,323,4,4,0.004677336976227349,0,0
198,281,2,3,0.24589157774378934,0,0
206,276,4,3,0.7566747709909949,0,1
262,232,1,1,0.0005195016033343457,0,0
290,389,0,0,0.0164619273969608,0,0
303,298,1,1,0.02606198312748462,0,0
308,336,0,0,0.0010839557627345866,0,0
394,231,0,0,0.01826191660938976,0,0
