axis,variant,metric,layer,n_rows,n_positive,auroc_high_is_error,eligible_chains,eligible_fraction,mean_rank,expected_top1
step,raw,menger_curvature,22,369,154,0.47263666565992146,154,0.751219512195122,1.6623376623376624,0.6103896103896104
step,raw,scale_free_curvature,8,369,154,0.4234672304439746,154,0.751219512195122,1.6688311688311688,0.5909090909090909
step,raw,scale_free_curvature,10,369,154,0.3953488372093023,154,0.751219512195122,1.7337662337662338,0.564935064935065
step,raw,scale_free_curvature,12,369,154,0.3852914527333132,154,0.751219512195122,1.7662337662337662,0.5584415584415584
step,raw,scale_free_curvature,14,369,154,0.3797644216248867,154,0.751219512195122,1.8246753246753247,0.525974025974026
step,raw,scale_free_curvature,16,369,154,0.38266384778012685,154,0.751219512195122,1.7922077922077921,0.551948051948052
step,raw,scale_free_curvature,18,369,154,0.3911507097553609,154,0.751219512195122,1.7532467532467533,0.577922077922078
step,raw,scale_free_curvature,20,369,154,0.3942011476895198,154,0.751219512195122,1.7142857142857142,0.5844155844155844
step,raw,scale_free_curvature,22,369,154,0.3966475385080036,154,0.751219512195122,1.7272727272727273,0.5844155844155844
step,nuisance_residual,delta_norm,8,385,170,0.607906976744186,170,0.8292682926829268,1.4352941176470588,0.6823529411764706
step,nuisance_residual,delta_norm,10,385,170,0.5928317373461013,170,0.8292682926829268,1.4,0.711764705882353
step,nuisance_residual,delta_norm,12,385,170,0.593077975376197,170,0.8292682926829268,1.411764705882353,0.711764705882353
step,nuisance_residual,delta_norm,14,385,170,0.5961969904240766,170,0.8292682926829268,1.464705882352941,0.6941176470588235
step,nuisance_residual,delta_norm,16,385,170,0.5878522571819426,170,0.8292682926829268,1.488235294117647,0.6705882352941176
step,nuisance_residual,delta_norm,18,385,170,0.5914911080711355,170,0.8292682926829268,1.4470588235294117,0.6882352941176471
step,nuisance_residual,delta_norm,20,385,170,0.5863201094391245,170,0.8292682926829268,1.4352941176470588,0.6823529411764706
step,nuisance_residual,delta_norm,22,385,170,0.5831463748290013,170,0.8292682926829268,1.4352941176470588,0.6882352941176471
step,nuisance_residual,relative_delta_norm,8,385,170,0.6073871409028728,170,0.8292682926829268,1.4529411764705882,0.6764705882352942
step,nuisance_residual,relative_delta_norm,10,385,170,0.5997537619699043,170,0.8292682926829268,1.4176470588235295,0.7176470588235294
step,nuisance_residual,relative_delta_norm,12,385,170,0.6042681258549931,170,0.8292682926829268,1.423529411764706,0.6941176470588235
step,nuisance_residual,relative_delta_norm,14,385,170,0.6220246238030096,170,0.8292682926829268,1.4176470588235295,0.7352941176470589
step,nuisance_residual,relative_delta_norm,16,385,170,0.6092476060191518,170,0.8292682926829268,1.4470588235294117,0.711764705882353
step,nuisance_residual,relative_delta_norm,18,385,170,0.6075239398084815,170,0.8292682926829268,1.4411764705882353,0.6882352941176471
step,nuisance_residual,relative_delta_norm,20,385,170,0.5971272229822161,170,0.8292682926829268,1.4470588235294117,0.6705882352941176
step,nuisance_residual,relative_delta_norm,22,385,170,0.5919015047879617,170,0.8292682926829268,1.4352941176470588,0.6882352941176471
step,nuisance_residual,turn_angle_rad,8,369,154,0.5262760495318635,154,0.751219512195122,1.5064935064935066,0.6753246753246753
step,nuisance_residual,turn_angle_rad,10,369,154,0.5167623074599819,154,0.751219512195122,1.4935064935064934,0.6688311688311688
step,nuisance_residual,turn_angle_rad,12,369,154,0.5177589852008456,154,0.751219512195122,1.4870129870129871,0.6558441558441559
step,nuisance_residual,turn_angle_rad,14,369,154,0.5044246451223195,154,0.751219512195122,1.525974025974026,0.6688311688311688
step,nuisance_residual,turn_angle_rad,16,369,154,0.5086680761099366,154,0.751219512195122,1.5389610389610389,0.6623376623376623
step,nuisance_residual,turn_angle_rad,18,369,154,0.5048323769254002,154,0.751219512195122,1.5584415584415585,0.6428571428571429
step,nuisance_residual,turn_angle_rad,20,369,154,0.4985804892781637,154,0.751219512195122,1.5584415584415585,0.6493506493506493
step,nuisance_residual,turn_angle_rad,22,369,154,0.4961643008154636,154,0.751219512195122,1.551948051948052,0.6493506493506493
step,nuisance_residual,menger_curvature,8,369,154,0.4946239806704923,154,0.751219512195122,1.6623376623376624,0.5974025974025974
step,nuisance_residual,menger_curvature,10,369,154,0.5162790697674419,154,0.751219512195122,1.6363636363636365,0.6298701298701299
step,nuisance_residual,menger_curvature,12,369,154,0.5071579583207491,154,0.751219512195122,1.655844155844156,0.5974025974025974
step,nuisance_residual,menger_curvature,14,369,154,0.49380851706433104,154,0.751219512195122,1.6428571428571428,0.6038961038961039
step,nuisance_residual,menger_curvature,16,369,154,0.5005436424041075,154,0.751219512195122,1.6428571428571428,0.6103896103896104
step,nuisance_residual,menger_curvature,18,369,154,0.48360012080942316,154,0.751219512195122,1.6428571428571428,0.6103896103896104
step,nuisance_residual,menger_curvature,20,369,154,0.4841135608577469,154,0.751219512195122,1.6688311688311688,0.5974025974025974
step,nuisance_residual,menger_curvature,22,369,154,0.4894895801872546,154,0.751219512195122,1.6623376623376624,0.5974025974025974
step,nuisance_residual,scale_free_curvature,8,369,154,0.5329507701600725,154,0.751219512195122,1.4935064935064934,0.6688311688311688
step,nuisance_residual,scale_free_curvature,10,369,154,0.5188764723648445,154,0.751219512195122,1.5,0.6753246753246753
step,nuisance_residual,scale_free_curvature,12,369,154,0.5219571126547871,154,0.751219512195122,1.4805194805194806,0.6688311688311688
step,nuisance_residual,scale_free_curvature,14,369,154,0.5039867109634552,154,0.751219512195122,1.5389610389610389,0.6558441558441559
step,nuisance_residual,scale_free_curvature,16,369,154,0.5042283298097252,154,0.751219512195122,1.5909090909090908,0.6428571428571429
step,nuisance_residual,scale_free_curvature,18,369,154,0.4990637269707037,154,0.751219512195122,1.5974025974025974,0.6298701298701299
step,nuisance_residual,scale_free_curvature,20,369,154,0.49257022047719723,154,0.751219512195122,1.5714285714285714,0.6493506493506493
step,nuisance_residual,scale_free_curvature,22,369,154,0.48840229537903956,154,0.751219512195122,1.5844155844155845,0.6428571428571429
