task,rank,feature,group,importance
response_0.25,24,last.depth.tortuosity,depth,0.0018131908451142448
response_0.25,25,max_jump.temporal.velocity_cv,temporal,0.0018025377373568478
response_0.25,26,mean.depth.update_anisotropy,depth,0.001778599952851978
response_0.25,27,last.legacy.cloud_V.layer_median,legacy_geometry,0.0017741567629112557
response_0.25,28,last.temporal.turn_angle_mean,temporal,0.0017507960172656115
response_0.25,29,mean.temporal.turn_angle_mean,temporal,0.001722793903909238
response_0.25,30,last.legacy.cloud_D.layer_median,legacy_geometry,0.001709040027565428
response_0.50,1,last.legacy.resultant.layer_median,legacy_geometry,0.0038378953820772514
response_0.50,2,last.legacy.coherence.layer_median,legacy_geometry,0.0038261791890030635
response_0.50,3,mean.depth.direction_dispersion,depth,0.0033271346966596118
response_0.50,4,max_jump.temporal.velocity_cv,temporal,0.003193720095210426
response_0.50,5,last.depth.direction_dispersion,depth,0.003135045085628891
response_0.50,6,mean.legacy.resultant.layer_median,legacy_geometry,0.0031039961036051196
response_0.50,7,max_jump.temporal.spectral_entropy,temporal,0.003087274374222642
response_0.50,8,mean.depth.turn_angle_mean,depth,0.0030482182839167145
response_0.50,9,mean.legacy.coherence.layer_median,legacy_geometry,0.0030301593507792153
response_0.50,10,mean.depth.path_length_mean,depth,0.003015763235160952
response_0.50,11,slope.temporal.turn_angle_mean,temporal,0.00276845553609146
response_0.50,12,std.legacy.cloud_D.layer_median,legacy_geometry,0.0027678463286309775
response_0.50,13,max_jump.temporal.layer_transport_misalignment,temporal,0.0027613106947477926
response_0.50,14,max_jump.depth.endpoint_displacement,depth,0.002754280648071743
response_0.50,15,last.depth.turn_angle_mean,depth,0.0027391919265993547
response_0.50,16,max_jump.legacy.cloud_D.layer_median,legacy_geometry,0.002703388827995789
response_0.50,17,max_jump.legacy.cloud_V.layer_median,legacy_geometry,0.0025997803687503483
response_0.50,18,std.legacy.cloud_V.layer_median,legacy_geometry,0.002565983182896775
response_0.50,19,std.depth.endpoint_displacement,depth,0.002483236062147116
response_0.50,20,max_jump.coupling.depth_time_misalignment,coupling,0.0024618290537878227
response_0.50,21,slope.temporal.velocity_cv,temporal,0.0023597456399950894
response_0.50,22,mean.depth.tortuosity,depth,0.002346735158485003
response_0.50,23,std.temporal.velocity_cv,temporal,0.0023290064918340286
response_0.50,24,last.temporal.turn_angle_mean,temporal,0.0023195232209218012
response_0.50,25,std.depth.path_length_mean,depth,0.0023190896742196353
response_0.50,26,last.depth.path_length_mean,depth,0.0023166614982102545
response_0.50,27,mean.depth.endpoint_displacement,depth,0.0022952198471921648
response_0.50,28,mean.depth.spectral_entropy,depth,0.002261811454572914
response_0.50,29,mean.depth.effective_rank,depth,0.0022585804587306572
response_0.50,30,max_jump.temporal.velocity_mean,temporal,0.0021432715619359105
response_0.75,1,max_jump.legacy.cloud_V.layer_median,legacy_geometry,0.003291084394076985
response_0.75,2,max_jump.legacy.cloud_D.layer_median,legacy_geometry,0.0031776274004931804
response_0.75,3,std.legacy.cloud_V.layer_median,legacy_geometry,0.0029133793565205594
response_0.75,4,std.legacy.cloud_D.layer_median,legacy_geometry,0.002841209165727952
response_0.75,5,slope.depth.endpoint_displacement,depth,0.002542384244868569
response_0.75,6,mean.depth.direction_dispersion,depth,0.0025216272856201554
response_0.75,7,std.temporal.velocity_mean,temporal,0.0024929465762642796
response_0.75,8,std.coupling.depth_time_misalignment,coupling,0.0024487909581808924
response_0.75,9,std.depth.effective_rank,depth,0.0024371087162157407
response_0.75,10,max_jump.coupling.depth_time_misalignment,coupling,0.002437077825531833
response_0.75,11,std.depth.spectral_entropy,depth,0.002435337656401936
response_0.75,12,max_jump.temporal.turn_angle_mean,temporal,0.0024005336280449522
response_0.75,13,slope.depth.direction_dispersion,depth,0.0023842350106795746
response_0.75,14,slope.depth.turn_angle_mean,depth,0.00238196516116423
response_0.75,15,mean.depth.turn_angle_mean,depth,0.0023811178040498496
response_0.75,16,slope.depth.update_anisotropy,depth,0.002296469588481055
response_0.75,17,slope.depth.path_length_mean,depth,0.0022506325626000033
response_0.75,18,mean.depth.path_length_mean,depth,0.002220483349554614
response_0.75,19,slope.coupling.depth_time_misalignment,coupling,0.002126387125651967
response_0.75,20,mean.depth.tortuosity,depth,0.0020889406203830176
response_0.75,21,last.coupling.depth_time_misalignment,coupling,0.002016065886521252
response_0.75,22,mean.coupling.depth_time_misalignment,coupling,0.0019466743412648291
response_0.75,23,std.temporal.direction_dispersion,temporal,0.0019106814366150835
response_0.75,24,mean.legacy.coherence.layer_median,legacy_geometry,0.0018693291178638765
response_0.75,25,max_jump.temporal.direction_dispersion,temporal,0.0018562805946570446
response_0.75,26,std.temporal.spectral_entropy,temporal,0.0018337102294446682
response_0.75,27,max_jump.temporal.velocity_mean,temporal,0.001809189244928062
response_0.75,28,mean.legacy.resultant.layer_median,legacy_geometry,0.0018046986373057184
response_0.75,29,slope.depth.tortuosity,depth,0.0017968212062989299
response_0.75,30,max_jump.temporal.spectral_entropy,temporal,0.00178530611891464
response_1.00,1,mean.depth.turn_angle_mean,depth,0.003314756265444584
response_1.00,2,mean.depth.direction_dispersion,depth,0.0026978201061551455
response_1.00,3,slope.temporal.spectral_entropy,temporal,0.002473171896432756
response_1.00,4,last.temporal.layer_transport_misalignment,temporal,0.0024022050424481103
response_1.00,5,mean.depth.tortuosity,depth,0.00236558342172874
response_1.00,6,slope.temporal.direction_dispersion,temporal,0.0023538261294078202
response_1.00,7,std.legacy.coherence.layer_median,legacy_geometry,0.0023359132666449507
response_1.00,8,slope.temporal.layer_transport_misalignment,temporal,0.0022787006517614615
response_1.00,9,max_jump.legacy.coherence.layer_median,legacy_geometry,0.0022376444325032064
response_1.00,10,mean.coupling.depth_time_misalignment,coupling,0.0021788325538442447
response_1.00,11,mean.depth.path_length_mean,depth,0.0021060772846753653
response_1.00,12,std.legacy.resultant.layer_median,legacy_geometry,0.002054251842675236
response_1.00,13,max_jump.legacy.resultant.layer_median,legacy_geometry,0.0020490191635816534
response_1.00,14,max_jump.depth.effective_rank,depth,0.002042135849008211
response_1.00,15,max_jump.depth.spectral_entropy,depth,0.00203604217215236
response_1.00,16,last.temporal.direction_dispersion,temporal,0.002033354634758241
response_1.00,17,max_jump.legacy.cloud_V.layer_median,legacy_geometry,0.0020234975911471984
response_1.00,18,std.coupling.depth_time_misalignment,coupling,0.0020025596350691133
response_1.00,19,mean.temporal.turn_angle_mean,temporal,0.0019587214058802357
response_1.00,20,last.temporal.turn_angle_mean,temporal,0.0019078938105801051
response_1.00,21,std.depth.effective_rank,depth,0.001818729665058551
response_1.00,22,std.depth.spectral_entropy,depth,0.0018167162759191338
response_1.00,23,last.depth.update_anisotropy,depth,0.001779012190040888
response_1.00,24,mean.legacy.coherence.layer_median,legacy_geometry,0.0017680914620996449
response_1.00,25,mean.legacy.resultant.layer_median,legacy_geometry,0.0017289208697837191
response_1.00,26,last.temporal.spectral_entropy,temporal,0.001669897894612556
response_1.00,27,max_jump.coupling.depth_time_misalignment,coupling,0.0016153342859431164
response_1.00,28,slope.depth.update_anisotropy,depth,0.001586845047474333
response_1.00,29,std.depth.update_anisotropy,depth,0.0015846903968819788
response_1.00,30,max_jump.depth.update_anisotropy,depth,0.0015577761304065717
future_output,1,lag0.depth.endpoint_displacement,depth,0.11166440250128988
future_output,2,lag1.depth.endpoint_displacement,depth,0.08743495534077037
future_output,3,lag1.temporal.spectral_entropy,temporal,0.07857039157338239
future_output,4,lag1.temporal.turn_angle_mean,temporal,0.07696390408767997
future_output,5,lag0.temporal.turn_angle_mean,temporal,0.0744684369570093
future_output,6,lag1.temporal.layer_transport_misalignment,temporal,0.07390016003404558
future_output,7,lag1.temporal.direction_dispersion,temporal,0.07352004419568352
future_output,8,lag0.depth.direction_dispersion,depth,0.06528616197671333
future_output,9,lag0.depth.turn_angle_mean,depth,0.06344000969885807
future_output,10,lag0.depth.tortuosity,depth,0.06288050475488324
future_output,11,delta_lag0.depth.update_anisotropy,depth,0.06182080083466347
future_output,12,lag1.depth.update_anisotropy,depth,0.05728268218966508
future_output,13,lag0.legacy.coherence.layer_median,legacy_geometry,0.05637773053810199
future_output,14,lag0.legacy.resultant.layer_median,legacy_geometry,0.05604511832916731
future_output,15,lag1.legacy.cloud_V.layer_median,legacy_geometry,0.05588077608078049
future_output,16,delta_lag0.temporal.velocity_cv,temporal,0.05488832916632691
future_output,17,delta_lag0.coupling.depth_time_misalignment,coupling,0.05397313461439375
future_output,18,delta_lag0.temporal.turn_angle_mean,temporal,0.053741405135022215
future_output,19,delta_lag0.legacy.cloud_V.layer_median,legacy_geometry,0.05323151535131728
future_output,20,lag1.depth.effective_rank,depth,0.05112972606977199
future_output,21,lag1.depth.spectral_entropy,depth,0.05110881980656022
future_output,22,lag1.depth.turn_angle_mean,depth,0.04991835283244719
future_output,23,delta_lag0.temporal.spectral_entropy,temporal,0.04287915553031709
future_output,24,delta_lag0.legacy.cloud_D.layer_median,legacy_geometry,0.042825854576499366
future_output,25,lag1.legacy.cloud_D.layer_median,legacy_geometry,0.04231961892896906
future_output,26,delta_lag0.depth.tortuosity,depth,0.041308585293540714
future_output,27,lag1.coupling.depth_time_misalignment,coupling,0.040499279061856054
future_output,28,delta_lag0.temporal.velocity_mean,temporal,0.03909793709874283
future_output,29,delta_lag0.depth.effective_rank,depth,0.038883234278568754
future_output,30,delta_lag0.depth.spectral_entropy,depth,0.03887289777145817
